shareHolderCode,shareHolderName,stocks,avg_1_Week_Return,avg_1_Month_Return,avg_3_Month_Return,avg_6_Month_Return,avg_1_Year_Return,count_1_Week_Return,count_1_Month_Return,count_3_Month_Return,count_6_Month_Return,count_1_Year_Return
70351,شخص حقیقی,ولقمان,,,,,,3,3,3,3,3
70352,شخص حقیقی,ولقمان,,,,,,3,3,3,3,3
70361,شخص حقیقی,ولقمان,,,,,,2,2,2,2,2
70640,شخص حقیقی,ولقمان,,,,,,2,2,2,2,2
70665,شرکت آرمان سازه آرارات-سهامی خاص-,ولقمان,,,,,,1,1,1,1,1
70971,prxسبد-شرک15835--شرک17411-,ولقمان,,,,,,1,1,1,1,1
71188,شخص حقیقی,ولقمان,0.02774923361589743,0.013060197327892238,0.4065346717904024,0.31165515937740723,0.43835688124507377,11,11,11,11,11
71241,prxسبد-شرک70711--شرک09208-,ولقمان,-0.02242884191936271,0.08723163664950039,0.543300381302193,0.17940215297563064,0.4224589166064936,10,10,10,10,10
76920,prxسبد-شرک56612--شرک17091-,ولقمان,,,,,,3,3,3,3,3
76925,prxسبد-شرک56612--شرک17091-,ولقمان,,,,,,1,1,1,1,1
76926,prxسبد-شرک56612--شرک17091-,ولقمان,,,,,,1,1,1,1,1
77319,prxسبد-شرک56612--شرک11024-,ولقمان,,,,,,2,2,1,1,0
77323,prxسبد-شرک56612--شرک11024-,ولقمان,,,,,,3,3,3,3,0
77324,prxسبد-شرک56612--شرک11024-,ولقمان,,,,,,3,3,3,3,2
77745,prxسبد-شرک56612--شرک10876-,ولقمان,,,,,,3,3,3,0,0
77800,شرکت پیشروامیدهامون-سهامی عام-,ولقمان,,,,,,2,2,2,1,0
77965,prxسبد-شرک69560--شرک41653-,ولقمان,,,,,,1,1,1,0,0
78038,prxسبد-شرک69560--شرک76271-,ولقمان,,,,,,1,1,1,0,0
78039,شخص حقیقی,ولقمان,,,,,,1,1,1,1,0
78380,شرکت سرمایه گذاری فنی ومهندسی مشانیر-سهامی عام,ولقمان,,,,,,1,1,0,0,0
78382,شرکت سرمایه گذاری فنی ومهندسی مشانیر-سهامی عام,ولقمان,,,,,,1,1,0,0,0
78745,شرکت تامین سرپناه ایرانیان-سهامی خاص-,ولقمان,,,,,,1,1,1,0,0
78747,شرکت تامین سرپناه ایرانیان-سهامی خاص-,ولقمان,,,,,,1,1,1,0,0
78840,شرکت تندیس تجارت بامدادزاگرس-سهامی خاص-,ولقمان,,,,,,1,1,1,0,0
460,شرکت سرمایه گذاری توسعه معادن وفلزات-سهامی عام,کگهر,0.0027984972071202685,0.03243417077686902,0.06812448364799623,0.07690285685211531,0.16280626841361245,21,21,21,21,18
513,شرکت سرمایه گذاری غدیر-سهامی عام-,کگهر,,,,,,3,3,3,3,2
42025,شرکت بین المللی توسعه صنایع ومعادن غدیر-سهامی خ,کگهر,,,,,,1,1,1,1,1
42186,شرکت گروه.م.سرمایه گذاری امید-س.ع-,کگهر,-0.007270742679550124,-0.03023512076056885,-0.17818698756278986,-0.030342527703509262,0.013770087953276843,15,15,15,11,11
44800,شرکت معدنی وصنعتی گل گهر-سهامی عام-,کگهر,,,,,,1,1,1,1,1
77167,شرکت واسط مالی مردادسوم-بامسئولیت محدود-,کگهر,,,,,,2,2,2,2,2
77173,شرکت واسط مالی مردادسوم-بامسئولیت محدود-,کگهر,,,,,,1,1,1,1,1
425,شرکت سرمایه گذاری اعتضادغدیر-سهامی خاص-,تنوین,,,,,,3,3,3,3,3
470,شرکت سرمایه گذاری ساختمان ایران-سهامی عام-,تنوین,-0.03999611078703567,-0.07319078394666213,-0.2156390157110754,-0.21646867242468648,-0.27951899224953347,15,15,15,15,15
471,شرکت سرمایه گذاری ساختمان نوین-سهامی عام-,تنوین,-0.004857685406341489,0.19411358579971144,0.1815077966348333,-0.043559508933394525,,4,4,4,4,1
513,شرکت سرمایه گذاری غدیر-سهامی عام-,تنوین,,,,,,1,1,1,1,1
758,موسسه بنیادفرهنگی مصلی نژاد,تنوین,,,,,,1,1,1,1,1
1032,شرکت توسعه صنایع بهشهر-سهامی عام-,تنوین,,,,,,2,2,2,2,2
1079,صندوق سرمایه گذاری مشترک یکم ایرانیان,تنوین,0.002167505612040932,-0.07791584611550932,-0.1129243924989736,-0.13970749780410097,-0.32479625936718676,42,42,42,42,42
7293,شرکت بانک اقتصادنوین-سهامی عام-,تنوین,,,,,,3,3,3,3,3
7497,شرکت سرمایه گذاری گروه توسعه ملی-سهامی عام-,تنوین,,,,,,1,0,0,0,0
7666,شرکت سرمایه گذاری سایه گسترسرمایه-سهامی خاص-,تنوین,0.011563505343326086,-0.08604291991491475,-0.13542870485128525,-0.22416436018165015,-0.4135732155100246,5,5,5,5,5
20873,صندوق سرمایه گذاری مشترک آتیه نوین,تنوین,-0.04180015212116403,-0.043682801513504926,-0.06979758017797892,-0.18841604710062704,-0.33191234575566414,38,38,38,38,38
21614,شرکت بیمه مرکزی جمهوری اسلامی ایران,تنوین,,,,,,1,1,1,1,1
